,Security,Ticker symbol,GICS Sector
1,3M Company,MMM,Industrials
2,Abbott Laboratories,ABT,Health Care
3,AbbVie,ABBV,Health Care
4,Accenture plc,ACN,Information Technology
5,ACE Limited,ACE,Financials
6,Adobe Systems Inc,ADBE,Information Technology
7,ADT Corp,ADT,Industrials
8,Advance Auto Parts,AAP,Consumer Discretionary
9,AES Corp,AES,Utilities
10,Aetna Inc,AET,Health Care
11,AFLAC Inc,AFL,Financials
12,Affiliated Managers Group Inc,AMG,Financials
13,Agilent Technologies Inc,A,Health Care
14,AGL Resources Inc.,GAS,Utilities
15,Air Products & Chemicals Inc,APD,Materials
16,Airgas Inc,ARG,Materials
17,Akamai Technologies Inc,AKAM,Information Technology
18,Alcoa Inc,AA,Materials
19,Allergan plc,AGN,Health Care
20,Alexion Pharmaceuticals,ALXN,Health Care
21,Allegion,ALLE,Industrials
22,Alliance Data Systems,ADS,Information Technology
23,Allstate Corp,ALL,Financials
24,Altera Corp,ALTR,Information Technology
25,Altria Group Inc,MO,Consumer Staples
26,Amazon.com Inc,AMZN,Consumer Discretionary
27,Ameren Corp,AEE,Utilities
28,American Airlines Group,AAL,Industrials
29,American Electric Power,AEP,Utilities
30,American Express Co,AXP,Financials
31,"American International Group, Inc.",AIG,Financials
32,American Tower Corp A,AMT,Financials
33,Ameriprise Financial,AMP,Financials
34,AmerisourceBergen Corp,ABC,Health Care
35,Ametek,AME,Industrials
36,Amgen Inc,AMGN,Health Care
37,Amphenol Corp A,APH,Industrials
38,Anadarko Petroleum Corp,APC,Energy
39,"Analog Devices, Inc.",ADI,Information Technology
40,Aon plc,AON,Financials
41,Apache Corporation,APA,Energy
42,Apartment Investment & Mgmt,AIV,Financials
43,Apple Inc.,AAPL,Information Technology
44,Applied Materials Inc,AMAT,Information Technology
45,Archer-Daniels-Midland Co,ADM,Consumer Staples
46,Assurant Inc,AIZ,Financials
47,AT&T Inc,T,Telecommunications Services
48,Autodesk Inc,ADSK,Information Technology
